cibil_score,dti_ratio,employment_tenure_days,days_past_due,net_monthly_surplus,bounced_cheques_12m,monthly_income,co_applicant_income,loan_amount,loan_tenure_months,proposed_emi,loan_to_income,loan_to_value,loan_purpose,property_value,existing_loans,existing_emi_monthly,credit_enquiries_6m,credit_history_years,num_credit_cards,credit_utilization,avg_monthly_balance,balance_volatility,monthly_inflow,salary_credit_regular,employment_type,employment_tenure_years,age,education,marital_status,num_dependents,num_children,gender,city_tier,loan_approved
374,2.12,941,60,31397,0,297437,0,174826,84,75657,34.13,0.8,1,5000000,0,21281,3,10,2,0.45,61239,0.45,276260,1,0,13.0,23,1,2,4,4,0,3,0
303,2.9,6399,30,29509,0,329013,5000,107858,120,29612,25.52,0.27,0,5000000,2,21716,5,25,0,1.0,136153,0.5,31507,0,1,18.4,42,2,2,2,0,1,3,0
417,2.48,7135,90,-32231,2,362573,5000,2327313,120,88743,5.25,0.26,4,500000,4,6534,0,2,4,0.81,81766,0.49,377207,1,2,14.7,44,2,0,0,2,0,2,0
803,2.71,7933,30,128321,0,145701,5000,2899116,84,11795,25.95,0.25,4,0,3,59672,1,4,0,0.57,89594,0.96,118162,0,2,6.7,58,0,1,0,4,1,1,0
873,2.8,727,30,163934,4,15704,20000,2933120,48,18564,47.65,0.62,0,500000,5,38558,2,8,3,0.19,439240,0.28,33003,0,0,7.7,30,0,0,0,2,0,2,0
740,2.4,4975,0,51584,5,142848,0,2886769,24,49603,48.49,0.81,3,100000,4,26965,1,9,4,0.12,175446,0.28,135825,0,1,3.8,55,0,1,3,0,0,2,0
493,2.02,2862,120,-3635,2,198327,5000,996468,12,42999,53.65,0.45,5,500000,2,82593,3,5,3,0.84,164801,0.84,331843,0,1,10.2,40,1,2,2,3,1,2,0
691,0.02,3243,120,185,0,58281,20000,2899577,48,67637,4.04,0.38,3,0,1,36469,0,5,1,0.79,350146,0.39,288700,1,1,2.4,61,2,2,2,4,0,1,0
325,1.4,648,120,83858,2,126972,5000,2486288,84,1513,32.1,0.97,4,100000,1,83280,4,10,0,0.46,233717,0.07,334791,0,0,14.4,64,0,2,0,2,0,1,0
734,1.71,5095,0,181609,3,123532,10000,2525481,12,66015,7.34,0.12,2,100000,3,11258,2,16,1,0.42,240416,0.48,129837,1,0,3.7,32,1,2,2,4,1,3,0
472,0.91,5617,60,76525,2,434452,50000,1534032,24,12324,12.84,0.49,2,0,5,63580,5,1,2,0.75,372183,0.55,188381,0,1,19.0,63,2,2,2,2,0,2,0
599,0.95,6614,60,82692,5,76780,0,1985290,60,16491,54.11,0.41,3,1000000,2,77345,3,8,1,0.54,332054,0.62,271535,1,2,15.4,32,2,0,1,4,0,2,0
625,2.88,7551,90,-13697,3,404549,50000,1313097,48,80229,30.31,0.1,2,500000,3,3067,1,23,0,0.4,486149,0.24,433683,1,0,19.6,37,1,2,3,1,0,2,0
709,2.68,2737,60,-30411,3,210277,50000,1766611,24,82459,45.75,0.27,3,100000,0,92274,0,17,2,0.25,369492,0.97,252487,1,0,1.9,24,2,2,2,2,0,2,0
417,2.55,5708,60,-47118,2,486336,10000,298422,12,35600,4.8,0.03,1,500000,4,34212,3,4,3,0.12,19965,0.74,196036,0,2,17.6,62,1,2,5,2,1,3,0
524,1.22,2747,120,143320,4,454162,10000,2769117,36,65179,25.59,0.88,3,0,0,12217,3,20,2,0.59,143790,0.72,205416,1,2,19.4,28,0,2,0,4,0,1,0
831,0.04,6650,180,130394,5,254955,10000,535741,48,11872,40.78,0.61,1,5000000,1,21871,4,5,0,0.83,190905,0.87,337825,0,1,1.0,27,2,1,4,3,1,3,0
412,0.24,7135,30,79236,4,327477,20000,1049168,120,44058,8.87,0.82,5,0,4,5179,5,3,4,0.75,464132,0.03,392039,0,1,22.0,38,1,2,4,1,0,3,0
439,0.94,1009,60,105596,5,168349,5000,2711653,12,73673,20.22,0.52,4,500000,0,68889,4,8,2,0.7,311116,0.61,128518,1,1,6.6,46,0,1,3,2,0,3,0
858,0.05,1550,60,-40255,5,191678,0,2044191,12,12358,4.81,0.6,2,100000,1,23165,4,4,3,0.93,114407,0.82,140081,0,1,4.7,51,0,1,2,0,1,1,0
300,0.05,803,0,183273,4,143005,10000,2937868,120,72343,39.43,0.7,5,500000,5,87980,5,3,2,0.39,454391,0.03,98356,1,3,9.1,28,0,2,1,0,1,3,0
389,2.75,4080,90,-34139,1,174586,0,2426881,24,27503,58.28,0.91,5,5000000,0,56364,1,8,1,0.14,242942,0.76,109525,1,0,0.2,54,2,1,2,4,0,2,0
619,2.12,6974,180,41707,3,263130,0,2416427,12,81395,49.8,0.09,4,100000,4,5919,4,17,4,0.1,421324,0.99,136458,1,2,19.5,36,0,2,0,3,1,3,0
849,0.93,7492,0,172807,2,248408,0,617670,48,62794,58.5,0.33,0,5000000,0,55012,5,10,0,0.96,294482,0.59,209611,0,3,5.9,40,0,1,5,1,0,2,0
438,0.4,4309,120,199882,4,99893,10000,1059237,84,53268,50.89,0.71,0,1000000,4,81092,3,15,4,0.59,67848,0.42,412703,1,3,11.5,30,0,0,2,2,1,3,0
810,1.53,7375,30,4261,4,233679,10000,1001031,120,48905,51.46,0.96,5,0,0,78547,3,1,1,0.81,154114,0.45,426174,1,3,13.7,25,1,2,4,0,1,3,0
558,0.02,4264,90,83909,2,335102,5000,1317141,48,63668,35.05,0.98,5,1000000,3,47602,5,15,4,0.54,68028,0.68,272054,0,1,17.4,31,2,2,4,2,0,2,0
309,2.82,3401,0,24135,3,410043,10000,1260584,120,23234,31.58,0.64,4,500000,5,46662,3,18,1,0.4,133342,0.57,433338,0,2,5.5,58,0,1,3,0,0,2,0
560,1.24,7447,60,162519,2,40844,10000,137081,12,77615,24.97,0.19,3,1000000,0,83690,2,9,2,0.2,162553,0.79,287550,0,1,15.8,59,2,0,5,4,1,2,0
471,1.21,5073,60,4380,5,386645,0,2594966,24,57750,49.27,0.12,3,0,0,22294,2,3,0,0.86,260287,0.42,167312,0,2,2.6,42,0,2,0,4,0,2,0
312,1.17,5424,90,36089,1,363344,5000,1861920,48,31975,11.74,0.95,2,100000,3,78272,5,11,1,0.06,498221,0.42,169113,1,1,15.5,31,1,1,3,2,1,2,0
467,0.21,4241,60,55025,5,10792,50000,1774578,36,70879,4.32,0.43,4,5000000,1,42662,5,25,1,0.9,73143,0.75,215090,0,2,20.2,38,0,1,2,4,0,1,0
895,1.91,5894,0,130903,1,442911,10000,1823843,84,71164,56.93,0.19,0,100000,4,82114,1,8,2,0.21,193318,0.65,388384,0,1,1.9,38,2,2,5,1,1,1,0
620,2.2,4611,0,170421,2,93187,10000,586939,120,89104,1.22,0.93,4,1000000,2,79532,5,12,1,0.01,270604,0.78,35353,0,0,2.6,51,0,1,1,4,1,1,0
618,2.03,3161,60,119327,5,52510,50000,1755601,60,29106,58.63,0.1,4,500000,1,62658,4,4,0,0.1,89128,0.89,469269,0,1,12.3,40,2,2,3,1,1,3,0
628,0.42,4548,60,194497,3,442353,0,1891926,24,75517,44.0,0.73,2,1000000,4,90686,3,1,3,0.88,420490,0.26,393666,1,2,1.0,43,2,0,4,4,1,1,0
849,1.74,4155,120,110592,5,123104,5000,335151,24,68778,20.38,0.63,3,0,0,92741,4,2,4,0.07,153640,0.32,145246,0,3,4.1,60,1,0,0,2,1,2,0
718,1.71,7478,30,110613,4,487826,0,2899456,60,59438,42.17,0.09,5,0,1,55006,5,7,1,0.36,44362,0.53,151885,0,1,4.2,30,0,0,2,1,1,1,0
394,2.61,527,90,146844,1,214482,20000,337179,60,49397,49.25,0.34,0,500000,0,22298,3,5,4,0.25,413677,0.93,359633,1,0,10.6,37,2,0,0,3,1,1,0
880,1.14,3298,0,108422,1,485428,10000,531818,48,51510,15.48,0.15,2,100000,1,30556,2,4,4,0.04,398510,0.83,8956,0,0,5.5,61,1,1,0,2,1,3,0
617,1.11,1023,90,-5603,3,311776,20000,651037,12,37424,46.48,0.6,0,0,1,37411,3,3,3,0.53,246192,0.47,325118,1,1,10.5,65,2,1,0,1,0,2,0
535,1.86,6617,120,27085,1,177862,10000,2523345,12,50459,48.46,0.48,0,0,2,90500,1,19,1,1.0,24000,0.57,43513,0,3,11.5,28,1,1,4,0,1,3,0
633,1.9,5660,0,13865,1,355712,20000,596499,36,52275,15.71,0.0,3,500000,3,13746,0,15,0,0.85,410402,0.71,33249,1,2,16.1,51,0,2,1,0,0,1,0
675,1.41,3734,120,5956,3,270851,50000,2070667,84,55034,3.47,0.98,5,100000,1,33428,3,7,1,0.17,104438,0.52,51559,1,2,20.8,60,0,0,3,3,0,1,0
758,1.33,6900,120,108525,5,434101,10000,1125442,120,69378,13.04,0.35,5,1000000,0,21999,5,11,4,0.88,219458,0.1,277182,0,2,11.1,46,0,2,4,0,0,3,0
436,1.48,6925,180,143417,2,75214,10000,1607845,12,17017,12.84,0.26,3,5000000,2,64712,1,21,2,0.45,119683,0.35,276624,1,3,7.8,62,0,0,5,2,0,3,0
887,2.58,5198,60,50727,5,479760,20000,2479584,36,80372,4.85,0.22,2,500000,1,30361,2,4,3,0.27,328983,0.05,4648,1,2,5.7,64,0,2,1,1,1,2,0
846,1.38,432,180,93978,4,54870,5000,1206455,36,80722,43.83,0.16,1,100000,3,8488,2,4,0,0.64,70749,0.67,409675,1,3,14.0,29,0,1,2,2,1,1,0
812,2.82,7968,90,-35012,4,269289,20000,1016163,24,35432,23.42,1.0,2,5000000,0,38381,0,21,0,0.22,170847,0.34,409382,1,0,20.7,52,2,1,3,4,0,2,0
595,1.51,1176,90,108795,1,58110,10000,1563419,24,23757,53.18,0.3,2,500000,2,23354,5,12,4,0.88,273264,0.74,291488,1,0,16.8,43,2,1,1,4,0,1,0
619,2.85,7956,60,-16200,4,381558,10000,471501,84,48188,15.88,0.41,1,1000000,4,16714,4,10,0,0.62,145747,0.43,141599,0,1,4.5,52,1,2,2,0,1,1,0
871,2.5,400,180,120179,2,146243,5000,1973542,48,32116,27.74,0.87,0,1000000,5,6777,4,10,4,0.14,244131,0.05,357524,0,3,19.7,56,0,1,5,3,0,3,0
648,1.09,7446,90,108502,1,150661,0,1540426,60,37716,38.7,0.64,4,100000,3,12041,3,18,0,0.57,455884,0.38,329140,0,2,16.2,25,0,1,3,3,1,1,0
528,2.59,2104,180,113607,4,28077,5000,2842801,60,59738,52.77,0.37,1,100000,4,13142,2,6,0,0.51,94775,0.22,40269,0,1,2.8,21,2,0,5,4,1,1,0
569,0.33,3050,60,149548,0,337018,0,1605506,84,21456,31.95,0.9,4,1000000,4,91396,1,16,4,0.47,451302,0.21,341057,1,3,15.7,51,1,2,2,3,0,2,0
590,2.78,2233,0,37329,0,475462,10000,1378727,36,4634,23.04,0.75,0,1000000,2,9270,0,4,3,0.36,30979,0.38,339120,0,3,6.4,51,1,2,4,3,0,1,0
464,1.89,2445,120,158870,0,256797,50000,1385977,84,50366,52.15,0.23,1,500000,2,56067,4,5,0,0.47,80603,0.98,324934,0,0,10.8,29,1,1,2,0,1,1,0
304,0.16,4700,120,2284,0,488988,50000,1128360,60,21856,19.3,0.64,3,100000,2,3866,3,17,1,0.59,96935,0.96,133070,0,1,6.6,53,0,2,5,2,1,1,0
678,1.93,2835,180,6232,5,179299,20000,1906386,36,68995,5.69,0.92,2,5000000,4,13029,3,17,2,0.73,90794,0.8,35358,0,1,1.8,55,0,1,0,2,1,1,0
377,2.92,6301,90,-5580,0,418153,5000,1103272,60,98055,27.26,0.5,1,1000000,5,38881,2,8,4,0.92,265202,0.25,381864,1,2,16.9,46,1,2,4,1,1,3,0
709,0.21,5906,180,-12290,1,281898,5000,405675,48,61615,47.32,0.73,1,5000000,0,99889,1,17,0,0.04,263993,0.76,48071,1,0,18.2,22,0,0,2,2,1,1,0
873,1.66,7860,180,153569,3,297832,50000,84635,24,84126,2.82,0.97,0,100000,2,2940,1,18,3,0.57,229181,0.02,286918,0,3,5.1,54,0,2,4,2,1,1,0
431,2.24,7526,30,42035,5,279192,0,370687,24,75137,35.57,0.69,3,100000,3,14105,4,16,1,0.75,24200,0.06,403875,0,0,5.3,37,0,1,3,0,0,3,0
900,2.43,5559,120,121570,3,294712,5000,2883771,36,70005,36.07,0.1,1,0,2,94598,3,8,4,0.12,361749,0.84,132169,1,3,9.5,26,0,2,0,0,1,1,0
341,1.24,6732,60,-18717,1,369727,0,2043604,84,25791,55.78,0.24,3,1000000,5,94580,2,0,1,0.91,419587,0.56,101798,0,1,17.9,57,1,2,0,2,1,3,0
388,0.61,2513,180,147241,1,478235,0,2158969,60,38615,17.9,0.6,4,100000,2,64556,1,19,2,0.24,287615,0.37,198749,0,0,1.7,51,1,0,2,1,1,2,0
701,0.13,7830,30,153430,2,420761,0,570674,12,1348,17.45,0.28,1,100000,5,22789,3,22,3,0.83,95139,0.74,56172,0,2,17.8,48,2,2,3,2,0,1,1
595,1.74,6589,30,143529,5,486165,0,2464554,48,37419,26.99,0.96,3,1000000,2,13218,1,17,4,0.66,287200,0.11,465255,0,3,20.3,41,0,0,4,2,1,3,0
594,1.36,1773,120,199863,3,104449,20000,1754104,60,3878,22.06,0.41,2,0,4,17886,0,23,4,0.56,135109,0.29,56488,0,1,12.4,31,0,0,2,4,0,2,0
825,2.85,6944,120,-24032,0,55217,20000,2269627,120,12857,44.44,0.46,0,0,5,17129,1,12,0,0.87,79298,0.73,237864,0,0,1.3,61,0,0,1,1,1,1,0
721,0.18,7910,120,12508,1,189194,50000,2370530,12,45029,38.86,0.7,5,0,0,35380,1,7,1,0.97,213282,0.21,420100,1,2,5.9,56,2,1,2,2,0,2,0
322,2.06,7655,60,185863,0,174818,20000,639487,48,86914,45.78,0.52,3,0,2,1508,3,13,4,1.0,170784,0.6,363220,1,0,2.5,59,2,0,1,0,0,1,0
874,0.07,5649,30,144292,3,411925,5000,2998532,48,64214,49.38,0.38,0,500000,4,67306,1,2,1,0.68,43654,0.45,175877,1,3,5.7,65,2,2,0,2,0,3,0
442,0.51,1096,90,63435,5,137873,20000,1156358,24,66538,55.46,0.08,5,1000000,3,77507,1,3,2,0.34,489576,0.2,98621,0,2,17.9,47,2,2,2,3,1,3,0
444,1.36,928,60,35366,4,297502,5000,1611389,36,26658,26.43,0.6,1,1000000,0,34729,0,10,0,0.87,454370,0.89,442639,1,3,1.2,40,0,0,2,4,1,3,0
524,1.36,1951,0,-44262,4,124064,5000,254635,60,24267,59.1,0.87,1,1000000,4,9787,1,6,2,0.65,10166,0.44,309455,0,1,6.2,40,0,0,0,4,0,3,0
802,2.06,7868,180,-46902,1,283167,0,66291,48,80889,13.72,0.69,4,0,5,40519,1,20,0,0.32,62840,0.6,214359,1,2,11.4,22,0,0,4,4,0,3,0
403,2.73,1973,120,45424,2,105387,50000,272047,60,68053,43.15,0.38,0,0,1,3658,3,4,0,0.93,487342,0.25,203629,1,0,19.2,57,2,1,5,1,0,1,0
338,1.92,6160,30,154705,0,169828,0,2758497,48,54998,32.51,0.13,2,100000,3,23361,2,1,1,0.75,483517,0.35,43410,1,1,5.5,47,1,0,2,4,1,3,0
497,2.86,1554,180,28672,1,466391,0,1975259,84,86499,49.2,0.82,2,500000,3,88529,0,5,0,0.45,251074,0.05,121938,1,0,17.1,38,1,0,3,2,0,1,0
878,2.64,2778,60,-11756,2,195353,20000,923586,24,79711,29.13,0.94,3,1000000,1,66001,1,19,2,0.45,448063,0.48,396527,1,1,12.8,33,0,0,5,1,0,1,0
690,1.75,4421,0,89325,0,452505,20000,1193111,36,52531,47.25,0.39,2,500000,4,83989,2,4,2,1.0,41336,0.34,468602,0,0,14.9,38,1,0,0,3,1,1,0
478,2.5,994,60,4333,3,461313,5000,476208,12,54416,55.88,0.73,5,1000000,4,25808,3,14,2,0.37,416426,0.33,226980,1,3,19.0,31,2,0,4,0,1,1,0
853,1.93,7799,60,75349,4,479897,20000,550269,12,31367,44.21,0.41,0,0,5,13874,0,10,1,0.09,259089,0.89,226879,0,3,0.6,34,2,2,5,4,1,1,0
747,0.24,612,90,969,2,96728,20000,482566,84,18232,46.79,0.5,1,0,3,22947,5,4,1,0.54,33026,0.7,287162,0,1,11.7,64,0,2,0,2,1,1,0
799,2.22,2593,180,40744,0,188331,10000,2935157,120,60048,4.96,0.84,0,1000000,4,40284,3,17,3,0.88,133491,0.46,270944,1,1,16.4,24,1,2,0,1,1,3,0
314,0.28,595,90,151495,1,159911,5000,834077,24,62437,13.09,0.08,0,5000000,1,59151,2,7,4,0.58,63165,0.2,427076,0,2,19.5,59,0,1,4,2,0,3,0
588,1.78,5016,60,67286,0,299554,5000,58577,48,50357,58.48,0.53,1,0,4,19432,0,10,3,0.79,91942,0.97,3784,0,1,2.9,33,2,1,5,4,0,3,0
777,2.11,7875,0,125483,1,115696,10000,604236,24,27468,41.9,0.21,5,100000,3,69578,1,16,3,0.05,179162,0.07,186836,1,1,7.5,39,1,2,4,0,0,1,0
530,0.2,841,30,25028,4,283591,5000,2907579,36,67056,34.13,0.34,0,0,4,86059,2,13,0,0.67,23359,0.14,163462,0,2,1.7,63,2,0,4,1,0,1,0
719,0.69,5321,30,-14579,4,127954,50000,127700,12,22497,22.65,0.64,2,100000,0,4202,3,1,0,0.08,175048,0.27,215849,1,1,18.4,59,1,0,5,2,0,1,0
456,2.75,4439,180,82526,0,96569,50000,2414513,60,93463,3.62,0.03,3,500000,1,38892,0,6,3,0.56,499452,0.95,460696,1,0,18.9,45,0,1,5,1,1,1,0
849,1.85,5972,120,98594,0,247963,10000,896610,12,7258,22.78,0.59,3,0,1,45205,2,22,4,0.5,195152,0.28,428855,1,3,10.6,35,2,1,3,4,1,2,0
740,0.74,7690,120,-11425,1,216737,20000,2327264,120,56959,30.44,0.28,0,0,2,7773,5,17,3,0.95,120891,0.49,205742,1,2,0.5,40,0,0,1,4,0,2,0
396,2.07,858,30,-46808,1,368038,50000,1045774,120,35902,13.48,0.67,5,500000,4,17671,2,0,1,0.13,51304,0.76,228203,1,2,2.2,37,2,1,5,3,0,3,0
710,1.79,5519,60,61116,2,286051,10000,1208233,120,16454,11.22,0.14,1,100000,5,8301,3,14,2,0.01,157097,0.93,399820,0,1,13.7,21,1,0,5,3,1,3,0
588,1.5,7385,60,136340,2,31637,50000,2356154,120,38606,31.0,0.74,4,5000000,1,94957,3,25,3,0.14,469868,0.61,468401,1,3,21.6,49,1,2,0,4,0,1,0
553,2.93,444,90,77874,2,179268,0,1952043,36,52627,35.57,0.65,5,100000,4,80110,1,0,0,0.17,462084,0.38,222548,1,2,18.5,64,2,1,2,1,0,1,0
495,2.05,1788,180,31311,0,425585,10000,667363,48,55969,15.16,0.97,0,1000000,0,32629,1,16,4,0.25,71422,0.99,441801,0,0,17.6,39,2,2,1,2,0,3,0
897,1.13,4317,90,91474,5,236089,5000,2550037,24,87465,35.66,0.91,0,1000000,3,53971,2,21,0,0.82,412717,0.03,40407,0,1,9.2,50,2,1,2,2,1,3,0
821,2.4,3454,120,159682,5,238289,50000,764335,12,90713,54.12,0.28,4,1000000,3,51942,3,25,1,0.38,365187,0.83,133210,0,3,21.7,45,1,2,2,1,1,3,0
816,2.65,3952,30,30781,5,143661,5000,564591,120,1785,28.92,0.03,3,500000,2,28999,2,6,0,0.84,331277,0.28,74016,1,1,18.1,48,0,2,2,0,0,1,0
417,0.38,4687,60,-13473,5,33560,10000,1644493,12,74679,51.59,0.66,5,100000,2,99165,4,15,0,0.27,366044,0.82,219929,1,1,7.4,57,0,1,3,1,1,3,0
458,0.6,1030,30,2181,2,275178,50000,927714,120,90628,55.71,0.6,3,0,5,95644,5,1,4,0.86,264458,0.16,71651,1,0,16.5,62,2,1,3,4,1,1,0
527,0.65,1295,0,41472,0,141241,5000,2124903,60,48818,6.45,0.03,4,1000000,1,74188,3,14,4,0.01,127931,0.35,298256,0,0,9.5,31,0,2,1,4,0,2,0
515,2.07,7906,30,108074,5,102449,20000,1291111,24,14635,6.65,0.12,1,100000,5,83024,4,21,0,0.93,132629,0.06,384532,1,0,14.5,36,0,2,4,3,1,1,0
314,1.81,5113,0,31219,4,13239,20000,2455303,60,77518,29.09,0.58,0,0,1,82663,4,19,0,0.75,97385,0.2,154604,0,2,21.3,38,0,0,3,2,0,3,0
456,1.86,2063,90,93532,3,13415,0,1509920,60,14409,35.7,0.91,2,100000,1,18794,3,24,3,0.41,310788,0.6,400897,0,3,5.4,61,0,2,0,3,0,2,0
560,2.82,1447,90,69783,4,488704,10000,1624903,120,49756,26.13,0.91,3,500000,0,93904,1,10,1,0.58,100020,0.76,70222,1,2,17.5,29,1,1,1,2,1,3,0
456,2.33,2045,120,111554,0,349088,5000,2778055,48,19541,20.26,0.15,3,1000000,2,46536,2,23,3,0.93,126347,0.91,301611,1,1,13.0,48,1,0,0,1,0,2,0
346,0.38,4619,30,97519,0,144556,0,53857,12,59022,38.82,0.38,5,5000000,2,70529,0,23,4,0.58,107668,0.12,112321,0,3,20.9,47,1,0,2,0,0,1,0
623,1.04,2850,30,129300,3,326131,10000,240091,84,70064,1.12,0.04,3,1000000,3,74170,0,1,3,0.23,270158,0.14,182854,1,3,3.0,58,2,2,0,2,0,3,0
429,1.31,3824,0,33265,1,28225,20000,1714296,24,37327,58.12,0.47,1,1000000,2,1833,5,10,3,0.57,313623,0.94,143907,1,1,15.8,64,2,0,3,0,1,3,0
710,1.19,2068,90,126,1,90459,5000,1091399,48,47888,14.69,0.75,4,500000,2,33653,3,20,0,0.87,291340,0.77,111149,0,1,0.8,43,1,1,0,0,1,3,0
394,2.01,3761,0,-29455,1,202176,50000,1318655,84,91054,55.11,0.79,1,0,0,15319,1,15,0,0.99,158559,0.54,277425,0,2,5.4,63,0,1,2,0,1,2,0
591,2.68,2275,90,5114,2,293080,20000,2422031,48,25946,7.43,0.5,3,1000000,5,3604,1,1,1,0.58,374809,0.48,417514,1,0,7.1,42,1,2,2,1,1,1,0
582,0.92,7151,0,43740,1,311756,50000,2837023,120,98616,15.05,0.1,5,0,1,5357,1,18,2,0.16,316697,0.16,82143,1,0,9.5,24,0,0,3,0,0,3,0
368,1.66,1808,90,156422,2,488162,50000,1730806,120,25556,14.86,0.38,0,0,5,16257,0,15,2,0.77,206307,0.38,290370,0,1,21.2,52,0,2,1,0,1,2,0
310,2.37,1311,0,138873,2,367677,5000,1429872,48,22775,59.77,0.93,3,500000,0,28932,4,7,3,1.0,157612,0.37,371458,1,0,1.5,44,1,2,4,4,0,2,0
553,1.25,6952,90,-36110,1,393021,5000,1441639,36,90577,1.27,0.23,0,1000000,4,62736,5,20,1,0.47,381725,0.65,198129,0,3,3.7,58,2,2,5,4,0,3,0
849,0.5,7301,180,71284,1,374413,50000,341900,36,1835,38.74,0.32,5,500000,3,61719,0,19,1,0.38,76863,0.6,247414,0,2,4.5,48,0,0,1,2,0,1,0
433,1.42,4055,0,2482,3,49952,0,2806406,48,52645,52.31,0.75,0,500000,3,65415,1,4,4,0.55,145518,0.06,38816,1,0,9.3,26,0,1,4,4,0,2,0
322,0.17,5402,30,144469,5,331089,50000,2001420,36,36747,40.66,0.73,3,5000000,3,64413,0,7,0,0.16,417608,0.85,388652,1,1,1.3,53,1,1,5,2,1,2,0
645,2.83,2451,120,82812,3,228471,50000,2513827,24,44285,22.4,0.91,3,500000,5,56241,0,25,4,0.97,212055,0.94,37912,0,1,21.2,51,0,0,3,0,1,3,0
601,0.22,7832,180,111193,2,277524,5000,2200366,12,45884,57.54,0.39,0,5000000,1,85141,5,13,2,0.84,335483,0.78,463524,1,0,12.3,30,0,2,3,4,0,3,0
662,1.32,1089,180,92290,3,191370,10000,1073655,84,17104,53.72,0.51,1,0,1,1596,2,13,1,0.11,405137,0.18,333987,0,1,17.9,32,1,1,3,3,1,3,0
695,1.59,1672,0,21591,2,489462,20000,644105,120,15927,26.6,0.47,1,0,1,59015,3,22,2,0.95,418696,0.17,31010,0,1,17.0,27,0,2,2,1,1,3,0
517,2.96,3675,120,38241,0,90821,5000,638150,24,5521,34.83,0.93,5,100000,3,30733,4,21,0,0.94,496341,0.73,208658,0,3,14.5,44,2,1,1,4,0,2,0
440,0.5,4532,30,-15278,2,430476,0,2892695,12,45086,58.08,0.77,1,100000,3,9757,2,17,0,0.32,398775,0.44,403500,1,2,19.9,48,2,2,4,1,1,2,0
509,0.34,4924,180,-569,2,436095,20000,832409,36,15280,58.97,0.83,2,0,5,9142,3,25,0,0.62,281727,0.78,78191,0,2,19.9,31,2,2,1,4,1,2,0
759,0.03,7077,30,132615,3,157215,5000,834256,84,64266,27.54,0.13,0,1000000,5,76642,1,4,2,0.11,35109,0.08,455890,1,0,2.8,52,1,2,4,4,0,2,0
655,0.47,4354,90,-8000,5,321888,5000,1521828,24,31753,50.99,0.79,2,100000,3,84412,5,9,1,0.08,275604,0.72,131808,0,3,19.8,40,1,1,0,3,1,2,0
623,0.62,2003,120,21975,0,214021,10000,2640815,60,52528,18.82,0.43,2,500000,4,25917,5,14,4,0.5,281926,0.42,499857,0,3,11.5,48,2,2,1,0,1,3,0
432,1.89,6085,60,-19079,4,172650,0,1998092,120,50605,22.94,0.02,0,100000,4,97054,2,12,1,0.05,496779,0.03,29594,0,3,5.9,21,1,1,0,2,1,2,0
426,0.66,4198,90,49265,4,352406,0,340477,48,69995,10.72,0.06,2,0,5,58075,3,8,1,0.87,314147,0.55,108893,1,3,13.4,47,1,1,3,4,0,1,0
405,0.06,5088,120,38747,5,329475,5000,2052029,120,95971,13.34,0.68,5,1000000,3,69869,5,24,3,0.93,99449,0.7,62238,1,1,6.2,36,1,1,2,4,0,3,0
677,2.48,7734,0,111686,4,102551,10000,1052299,12,29077,39.76,0.37,5,0,1,33306,2,8,1,0.07,339466,0.53,262054,1,0,10.5,56,2,1,2,1,1,3,0
350,1.1,4864,0,142261,0,335959,5000,2186440,12,67684,31.14,0.87,0,1000000,1,49920,5,18,4,0.05,278911,0.12,88898,1,2,18.0,26,1,0,5,0,1,3,0
328,1.06,1124,30,-32399,1,81519,50000,915020,60,38345,14.64,0.73,4,100000,4,28301,0,24,3,0.22,468930,0.82,126357,1,2,0.7,30,1,1,1,4,0,1,0
761,0.91,1221,180,43332,0,160250,50000,2787224,60,32036,24.77,0.02,4,500000,4,56057,0,8,1,0.93,469274,0.32,375731,1,3,4.0,59,2,2,0,4,1,2,0
595,2.93,2860,60,73254,3,102526,10000,226339,48,50273,23.02,0.69,0,500000,3,51273,2,4,3,0.77,436987,0.92,230409,1,2,21.0,64,2,1,0,2,0,2,0
596,0.51,2273,0,152615,2,216929,5000,344319,36,21002,59.25,0.19,0,0,3,38321,2,5,1,0.68,144830,0.91,147316,1,0,9.8,39,1,2,4,0,0,3,0
706,2.69,2990,120,101586,2,201269,10000,2490954,120,63020,51.36,0.42,0,1000000,1,81193,4,22,0,0.78,91078,0.2,399879,1,2,6.7,30,1,0,1,0,1,1,0
704,2.33,2510,180,164384,3,119365,5000,421879,24,49440,23.89,0.62,1,100000,5,75462,1,9,0,0.2,391361,0.48,78881,1,1,20.3,46,0,1,1,4,1,3,0
645,0.23,236,180,148684,3,308510,5000,1598244,24,40398,54.92,0.87,0,1000000,2,28967,0,25,1,0.26,160585,0.14,84201,1,3,20.0,54,2,0,0,0,0,2,0
719,2.96,7193,120,171958,2,456171,50000,2505269,24,60516,21.22,0.46,5,1000000,5,65549,5,9,3,0.32,229058,0.68,138420,0,2,1.0,61,0,1,5,0,1,3,0
481,0.81,1144,180,69004,5,109830,20000,1996350,36,72466,40.41,0.81,5,1000000,1,70243,2,5,4,0.61,63056,0.85,38801,0,0,8.0,21,0,1,5,2,1,1,0
300,0.3,6649,0,185572,1,247285,0,770658,120,79924,58.03,0.78,3,100000,5,90302,3,20,0,0.61,107114,0.65,70155,1,2,20.1,30,0,0,0,3,0,2,0
